onset,duration,event,trial
3,5,baseline,0
8,180,regulation,1
188,3,baseline,1
191,4,feedback,1
195,23,post-feedback,1
218,180,regulation,2
398,3,baseline,2
401,4,feedback,2
405,23,post-feedback,2
428,180,regulation,3
608,3,baseline,3
611,4,feedback,3
615,23,post-feedback,3
638,180,regulation,4
818,3,baseline,4
821,4,feedback,4
825,23,post-feedback,4
