onset,duration,event,trial,scans
0,40,rest,1,0
40,36,happy,1,20
76,4,feedback1,1,38
80,36,count,1,40
116,4,feedback2,1,58
120,40,rest,2,60
160,36,happy,2,80
196,4,feedback1,2,98
200,36,count,2,100
236,4,feedback2,2,118
240,40,rest,3,120
280,36,happy,3,140
316,4,feedback1,3,158
320,36,count,3,160
356,4,feedback2,3,178
360,40,rest,4,180
400,36,happy,4,200
436,4,feedback1,4,218
440,36,count,4,220
476,4,feedback2,4,238
480,40,rest,NaN,240
